Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,ponderal_index,mass_index,surface_area,lean_body_mass,basal_metabolic_rate,estimated_energy_requirements
Julian Reus,M,28.0,176.0,76.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 200 metres,,13.940411344853494,24.535123966942148,1.9218026351376094,58.724000000000004,1803.028,3134.4128
Julian Reus,M,28.0,176.0,76.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,,13.940411344853494,24.535123966942148,1.9218026351376094,58.724000000000004,1803.028,3134.4128
Reginald William Revans,M,21.0,,,Great Britain,GBR,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's Long Jump,,,,,,,
Andrew G. Reyes,M,25.0,180.0,73.0,Liberia,LBR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,,12.517146776406035,22.530864197530864,1.92022051575652,58.571,1802.04,3113.9464000000003
Cristin Eduardo Reyes Troncoso,M,22.0,180.0,72.0,Chile,CHI,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 200 metres,,12.345679012345677,22.22222222222222,1.908996801953057,58.164,1808.54,3118.9896000000003
Cristin Eduardo Reyes Troncoso,M,25.0,180.0,72.0,Chile,CHI,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 200 metres,,12.345679012345677,22.22222222222222,1.908996801953057,58.164,1788.29,3090.3996
Mximo Reyes Anchante,M,19.0,,,Peru,PER,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 100 metres,,,,,,,
Manuel Reynaert,M,23.0,188.0,79.0,France,FRA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 4 x 100 metres Relay,,11.889224930892,22.351742870076958,2.049378983478952,63.149,1938.0640000000003,3317.4552
"Harry Lee ""Butch"" Reynolds, Jr.",M,24.0,193.0,84.0,United States,USA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 400 metres,Silver,11.684425370392809,22.550940964858118,2.1439471194788626,66.51899999999999,2025.0790000000002,3452.6392000000005
"Harry Lee ""Butch"" Reynolds, Jr.",M,24.0,193.0,84.0,United States,USA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 400 metres Relay,Gold,11.684425370392809,22.550940964858118,2.1439471194788626,66.51899999999999,2025.0790000000002,3452.6392000000005
"Harry Lee ""Butch"" Reynolds, Jr.",M,32.0,193.0,84.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 400 metres,,11.684425370392809,22.550940964858118,2.1439471194788626,66.51899999999999,1971.0790000000002,3376.3992
Martin Edward Reynolds,M,23.0,185.0,77.0,Great Britain,GBR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 400 metres,,12.161175053797404,22.498173849525198,2.0036616456815466,61.534000000000006,1895.5550000000003,3254.1736
Martin Edward Reynolds,M,23.0,185.0,77.0,Great Britain,GBR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 400 metres Relay,Silver,12.161175053797404,22.498173849525198,2.0036616456815466,61.534000000000006,1895.5550000000003,3254.1736
Franco Reyser,M,24.0,,,Italy,ITA,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 100 metres,,,,,,,
Franco Reyser,M,24.0,,,Italy,ITA,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,
George Vincent Rhoden,M,21.0,178.0,68.0,Jamaica,JAM,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 400 metres,,12.057267766384053,21.461936624163616,1.8481495599975244,56.001999999999995,1750.284,3023.5404
George Vincent Rhoden,M,21.0,178.0,68.0,Jamaica,JAM,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 4 x 400 metres Relay,,12.057267766384053,21.461936624163616,1.8481495599975244,56.001999999999995,1750.284,3023.5404
George Vincent Rhoden,M,25.0,178.0,68.0,Jamaica,JAM,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 400 metres,Gold,12.057267766384053,21.461936624163616,1.8481495599975244,56.001999999999995,1723.284,2985.4204
George Vincent Rhoden,M,25.0,178.0,68.0,Jamaica,JAM,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 4 x 400 metres Relay,Gold,12.057267766384053,21.461936624163616,1.8481495599975244,56.001999999999995,1723.284,2985.4204
"Norbert Gregory ""Greg"" Rhymer",M,24.0,180.0,66.0,British Virgin Islands,IVB,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,,11.316872427983538,20.37037037037037,1.8396917571042604,55.721999999999994,1712.54,2958.6488
Roberto Ribaud,M,23.0,178.0,65.0,Italy,ITA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,,11.52532948257299,20.515086478979924,1.8130467468359361,54.78099999999999,1695.534,2933.84
lvaro de Oliveira Ribeiro,M,22.0,,,Brazil,BRA,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 100 metres,,,,,,,
lvaro de Oliveira Ribeiro,M,22.0,,,Brazil,BRA,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 200 metres,,,,,,,
Edson Luciano Ribeiro,M,23.0,190.0,95.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,,13.850415512465375,26.315789473684212,2.2335476219758785,70.19500000000001,2168.07,3704.996
Edson Luciano Ribeiro,M,23.0,190.0,95.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 200 metres,,13.850415512465375,26.315789473684212,2.2335476219758785,70.19500000000001,2168.07,3704.996
Edson Luciano Ribeiro,M,23.0,190.0,95.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze,13.850415512465375,26.315789473684212,2.2335476219758785,70.19500000000001,2168.07,3704.996
Edson Luciano Ribeiro,M,27.0,190.0,95.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,Silver,13.850415512465375,26.315789473684212,2.2335476219758785,70.19500000000001,2141.07,3666.876
Edson Luciano Ribeiro,M,31.0,190.0,95.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 4 x 100 metres Relay,,13.850415512465375,26.315789473684212,2.2335476219758785,70.19500000000001,2114.07,3628.7560000000003
Tibor Ribnyi,M,22.0,,,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's 400 metres,,,,,,,
Tibor Ribnyi,M,22.0,,,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,
Danilson Ricciuli,M,21.0,175.0,76.0,Guinea Bissau,GBS,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 400 metres,,14.180758017492712,24.816326530612244,1.9138799188389992,58.456999999999994,1845.275,3195.7268000000004
Mario Riccoboni,M,31.0,,,Italy,ITA,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 100 metres,,,,,,,
Mario Riccoboni,M,31.0,,,Italy,ITA,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 200 metres,,,,,,,
Mario Riccoboni,M,31.0,,,Italy,ITA,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,
Richard Goodenough Rice,M,26.0,,,Great Britain,GBR,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 100 metres,,,,,,,
Richard Goodenough Rice,M,26.0,,,Great Britain,GBR,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 200 metres,,,,,,,
Antoine Richard,M,19.0,174.0,63.0,France,FRA,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 100 metres,,11.958943239438545,20.808561236623067,1.7598848885263128,52.899,1675.022,2903.2824
Antoine Richard,M,19.0,174.0,63.0,France,FRA,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze,11.958943239438545,20.808561236623067,1.7598848885263128,52.899,1675.022,2903.2824
Antoine Richard,M,23.0,174.0,63.0,France,FRA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,,11.958943239438545,20.808561236623067,1.7598848885263128,52.899,1648.022,2865.1624
Antoine Richard,M,23.0,174.0,63.0,France,FRA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay,,11.958943239438545,20.808561236623067,1.7598848885263128,52.899,1648.022,2865.1624
Paul Richards,M,20.0,180.0,72.0,Antigua and Barbuda,ANT,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 4 x 100 metres Relay,,12.345679012345677,22.22222222222222,1.908996801953057,58.164,1822.04,3138.0496000000003
Paul Richards,M,20.0,180.0,72.0,Antigua and Barbuda,ANT,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 4 x 400 metres Relay,,12.345679012345677,22.22222222222222,1.908996801953057,58.164,1822.04,3138.0496000000003
Jason Alexander Richardson,M,26.0,188.0,77.0,United States,USA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 110 metres Hurdles,Silver,11.588231894666887,21.785875961973744,2.027166042196137,62.334999999999994,1890.3140000000003,3241.7715999999996
Jorge L. Richardson Osorio,M,24.0,183.0,88.0,Puerto Rico,PUR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,,14.35917217414347,26.27728507868255,2.1040133901207185,65.47699999999999,2030.049,3492.8664
Mark Ashton Richardson,M,19.0,178.0,74.0,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze,13.121144334006175,23.355636914530994,1.9157741380712472,58.444,1846.284,3183.8812
Mark Ashton Richardson,M,23.0,178.0,74.0,Great Britain,GBR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,Silver,13.121144334006175,23.355636914530994,1.9157741380712472,58.444,1819.284,3145.7612
"Samuel Cromwell ""Sam"" Richardson",M,18.0,,,Canada,CAN,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,
"Samuel Cromwell ""Sam"" Richardson",M,18.0,,,Canada,CAN,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's Long Jump,,,,,,,
Jess Rico,M,22.0,172.0,62.0,Venezuela,VEN,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 4 x 100 metres Relay,,12.184461745506686,20.9572742022715,1.7333685627075124,51.958,1631.016,2840.3536
"Steven Earl ""Steve"" Riddick",M,24.0,190.0,75.0,United States,USA,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 100 metres,,10.934538562472666,20.775623268698062,2.02005745198834,62.05499999999999,1886.3200000000002,3224.5299999999997
"Steven Earl ""Steve"" Riddick",M,24.0,190.0,75.0,United States,USA,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 4 x 100 metres Relay,Gold,10.934538562472666,20.775623268698062,2.02005745198834,62.05499999999999,1886.3200000000002,3224.5299999999997
"Jonathan Peter ""Jon"" Ridgeon",M,21.0,183.0,75.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 110 metres Hurdles,,12.237930830235912,22.395413419331717,1.9658229487461962,60.18599999999999,1871.549,3215.348
"Jonathan Peter ""Jon"" Ridgeon",M,29.0,183.0,75.0,Great Britain,GBR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 400 metres Hurdles,,12.237930830235912,22.395413419331717,1.9658229487461962,60.18599999999999,1817.549,3139.108
Umberto Ridi,M,22.0,,,Italy,ITA,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's 400 metres Hurdles,,,,,,,
