Sex,Age,Height,Weight,Team,Season,Sport,Event,ponderal_index,mass_index,surface_area,lean_body_mass,basal_metabolic_rate,estimated_energy_requirements
M,22,179,65.0,Venezuela,Summer,Athletics,Athletics Men's 200 metres,11.333244643429097,20.286507911738084,1.8204256565299581,55.04799999999999,1707.287,2948.766
M,24,191,75.0,Germany,Summer,Athletics,Athletics Men's Long Jump,10.76368951147345,20.558646966914285,2.0277600001499283,62.32199999999999,1891.3229999999999,3229.926
M,24,180,83.0,Slovenia,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,14.2318244170096,25.61728395061728,2.0279025396994173,62.641000000000005,1946.29,3358.9444000000003
M,23,180,71.0,Mexico,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,12.17421124828532,21.91358024691358,1.8976830917162073,57.75699999999999,1788.04,3085.9128
M,27,178,79.0,Cameroon,Summer,Athletics,Athletics Men's 100 metres,14.007708140357943,24.933720489837143,1.969755578604529,60.479,1861.034,3225.3752000000004
M,27,172,70.0,Seychelles,Summer,Athletics,Athletics Men's 400 metres,13.756650357830129,23.661438615467823,1.825118699202838,55.214,1707.266,2981.078
M,24,182,82.0,Great Britain,Summer,Athletics,Athletics Men's 100 metres,13.601903470276854,24.755464315903875,2.033709733541002,62.76799999999999,1942.5460000000003,3346.1896
M,24,182,82.0,Great Britain,Summer,Athletics,Athletics Men's 200 metres,13.601903470276854,24.755464315903875,2.033709733541002,62.76799999999999,1942.5460000000003,3346.1896
M,24,182,82.0,Great Britain,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,13.601903470276854,24.755464315903875,2.033709733541002,62.76799999999999,1942.5460000000003,3346.1896
M,26,190,83.0,Poland,Summer,Athletics,Athletics Men's Long Jump,12.100889342469749,22.991689750692522,2.10897229034956,65.31099999999999,1982.8200000000002,3393.8444
M,23,175,71.0,Hungary,Summer,Athletics,Athletics Men's 400 metres,13.247813411078717,23.183673469387756,1.859318143232723,56.422,1763.025,3058.9328
M,23,175,71.0,Hungary,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,13.247813411078717,23.183673469387756,1.859318143232723,56.422,1763.025,3058.9328
M,23,180,79.0,Saint Kitts and Nevis,Summer,Athletics,Athletics Men's 100 metres,13.545953360768173,24.382716049382715,1.9857766681672113,61.01299999999999,1898.04,3274.2872
M,23,180,79.0,Saint Kitts and Nevis,Summer,Athletics,Athletics Men's 200 metres,13.545953360768173,24.382716049382715,1.9857766681672113,61.01299999999999,1898.04,3274.2872
