Sex,Age,Height,Weight,Team,Season,Sport,Event
M,28.0,162.0,65.0,Nigeria,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,21.0,185.0,63.0,Nigeria,Summer,Athletics,Athletics Men's 100 metres
M,21.0,185.0,63.0,Nigeria,Summer,Athletics,Athletics Men's 200 metres
M,21.0,185.0,63.0,Nigeria,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,26.0,188.0,80.0,United States,Summer,Athletics,Athletics Men's 400 metres Hurdles
M,20.0,173.0,61.0,Uganda,Summer,Athletics,Athletics Men's 400 metres
M,20.0,173.0,61.0,Uganda,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,24.0,168.0,59.0,Palau,Summer,Athletics,Athletics Men's 100 metres
M,20.0,170.0,69.0,Ghana,Summer,Athletics,Athletics Men's 4 x 400 metres Relay
M,28.0,167.0,68.0,Togo,Summer,Athletics,Athletics Men's Long Jump
M,21.0,184.0,69.0,Pakistan,Summer,Athletics,Athletics Men's 100 metres
M,21.0,184.0,69.0,Pakistan,Summer,Athletics,Athletics Men's 200 metres
M,21.0,184.0,69.0,Pakistan,Summer,Athletics,Athletics Men's 4 x 400 metres Relay
M,27.0,179.0,74.0,Nigeria,Summer,Athletics,Athletics Men's 400 metres Hurdles
M,23.0,174.0,64.0,Portugal,Summer,Athletics,Athletics Men's 100 metres
M,23.0,174.0,64.0,Portugal,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,27.0,174.0,64.0,Portugal,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,21.0,171.0,66.0,Trinidad and Tobago,Summer,Athletics,Athletics Men's 100 metres
M,21.0,171.0,66.0,Trinidad and Tobago,Summer,Athletics,Athletics Men's 200 metres
M,24.0,180.0,72.0,Benin,Summer,Athletics,Athletics Men's 100 metres
M,24.0,180.0,72.0,Benin,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,27.0,194.0,80.0,Venezuela,Summer,Athletics,Athletics Men's 4 x 400 metres Relay
M,24.0,168.0,62.0,Panama,Summer,Athletics,Athletics Men's 200 metres
M,32.0,168.0,62.0,Panama,Summer,Athletics,Athletics Men's 100 metres
M,24.0,178.0,77.0,Belize,Summer,Athletics,Athletics Men's 400 metres Hurdles
M,26.0,172.0,64.0,Cuba,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,23.0,185.0,75.0,Argentina,Summer,Athletics,Athletics Men's 400 metres
M,18.0,169.0,70.0,Ghana,Summer,Athletics,Athletics Men's 200 metres
M,18.0,169.0,70.0,Ghana,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,22.0,169.0,70.0,Ghana,Summer,Athletics,Athletics Men's 200 metres
M,22.0,170.0,57.0,Great Britain,Summer,Athletics,Athletics Men's 110 metres Hurdles
M,22.0,170.0,57.0,Great Britain,Summer,Athletics,Athletics Men's Long Jump
M,24.0,196.0,72.0,Ghana,Summer,Athletics,Athletics Men's 100 metres
M,24.0,196.0,72.0,Ghana,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,24.0,196.0,72.0,Ghana,Summer,Athletics,Athletics Men's Long Jump
M,28.0,196.0,72.0,Ghana,Summer,Athletics,Athletics Men's 100 metres
M,28.0,196.0,72.0,Ghana,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,28.0,196.0,72.0,Ghana,Summer,Athletics,Athletics Men's Long Jump
M,32.0,196.0,72.0,Ghana,Summer,Athletics,Athletics Men's Long Jump
M,23.0,174.0,69.0,Finland,Summer,Athletics,Athletics Men's 100 metres
M,23.0,174.0,69.0,Finland,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,21.0,175.0,65.0,Pakistan,Summer,Athletics,Athletics Men's 4 x 400 metres Relay
M,23.0,178.0,60.0,Pakistan,Summer,Athletics,Athletics Men's 200 metres
M,19.0,175.0,67.0,Malaysia,Summer,Athletics,Athletics Men's 100 metres
M,19.0,175.0,67.0,Malaysia,Summer,Athletics,Athletics Men's 200 metres
M,26.0,181.0,73.0,Libya,Summer,Athletics,Athletics Men's 200 metres
M,26.0,181.0,73.0,Libya,Summer,Athletics,Athletics Men's 400 metres
M,23.0,169.0,65.0,Maldives,Summer,Athletics,Athletics Men's 100 metres
M,20.0,175.0,65.0,South Yemen,Summer,Athletics,Athletics Men's 100 metres
M,21.0,174.0,65.0,Togo,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,27.0,180.0,87.0,Great Britain,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,25.0,178.0,68.0,Italy,Summer,Athletics,Athletics Men's 4 x 400 metres Relay
M,29.0,178.0,68.0,Italy,Summer,Athletics,Athletics Men's 4 x 400 metres Relay
M,20.0,180.0,62.0,Canada,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,17.0,187.0,58.0,Sierra Leone,Summer,Athletics,Athletics Men's 400 metres
M,17.0,187.0,58.0,Sierra Leone,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,17.0,187.0,58.0,Sierra Leone,Summer,Athletics,Athletics Men's 4 x 400 metres Relay
M,25.0,185.0,81.0,Great Britain,Summer,Athletics,Athletics Men's 400 metres
M,25.0,185.0,81.0,Great Britain,Summer,Athletics,Athletics Men's 4 x 400 metres Relay
M,29.0,185.0,81.0,Great Britain,Summer,Athletics,Athletics Men's 400 metres Hurdles
M,29.0,185.0,81.0,Great Britain,Summer,Athletics,Athletics Men's 4 x 400 metres Relay
M,33.0,185.0,81.0,Great Britain,Summer,Athletics,Athletics Men's 400 metres Hurdles
M,33.0,185.0,81.0,Great Britain,Summer,Athletics,Athletics Men's 4 x 400 metres Relay
M,23.0,168.0,66.0,Papua New Guinea,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,22.0,188.0,77.0,Uganda,Summer,Athletics,Athletics Men's 400 metres Hurdles
M,30.0,188.0,77.0,Uganda,Summer,Athletics,Athletics Men's 400 metres Hurdles
M,30.0,188.0,77.0,Uganda,Summer,Athletics,Athletics Men's 4 x 400 metres Relay
