Sex,Age,Height,Weight,Team,Season,Sport,Event,total_arm_cmprox,total_leg_cmprox,hat_cmprox,total_arm_cmdist,total_leg_cmdist,hat_cmdist,total_arm_rgcm,total_leg_rgcm,hat_rgcm,total_arm_rgprox,total_leg_rgprox,hat_rgprox,total_arm_rgdist,total_leg_rgdist,hat_rgdist
M,22,169,70.0,Ghana,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,22,170,57.0,Great Britain,Summer,Athletics,Athletics Men's 110 metres Hurdles,,,,,,,,,,,,,,,
M,22,170,57.0,Great Britain,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,24,196,72.0,Ghana,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,24,196,72.0,Ghana,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,24,196,72.0,Ghana,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,28,196,72.0,Ghana,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,28,196,72.0,Ghana,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,28,196,72.0,Ghana,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,32,196,72.0,Ghana,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,23,174,69.0,Finland,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,23,174,69.0,Finland,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,21,175,65.0,Pakistan,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,23,178,60.0,Pakistan,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,19,175,67.0,Malaysia,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,19,175,67.0,Malaysia,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,26,181,73.0,Libya,Summer,Athletics,Athletics Men's 200 metres,,,,,,,,,,,,,,,
M,26,181,73.0,Libya,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,23,169,65.0,Maldives,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,20,175,65.0,South Yemen,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,21,174,65.0,Togo,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,27,180,87.0,Great Britain,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,25,178,68.0,Italy,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,29,178,68.0,Italy,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,20,180,62.0,Canada,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,17,187,58.0,Sierra Leone,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,17,187,58.0,Sierra Leone,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,17,187,58.0,Sierra Leone,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,25,185,81.0,Great Britain,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,25,185,81.0,Great Britain,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,29,185,81.0,Great Britain,Summer,Athletics,Athletics Men's 400 metres Hurdles,,,,,,,,,,,,,,,
M,29,185,81.0,Great Britain,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,33,185,81.0,Great Britain,Summer,Athletics,Athletics Men's 400 metres Hurdles,,,,,,,,,,,,,,,
M,33,185,81.0,Great Britain,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,23,168,66.0,Papua New Guinea,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,22,188,77.0,Uganda,Summer,Athletics,Athletics Men's 400 metres Hurdles,,,,,,,,,,,,,,,
M,30,188,77.0,Uganda,Summer,Athletics,Athletics Men's 400 metres Hurdles,,,,,,,,,,,,,,,
M,30,188,77.0,Uganda,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,
M,23,176,66.0,Nigeria,Summer,Athletics,Athletics Men's 110 metres Hurdles,,,,,,,,,,,,,,,
M,19,170,68.0,Ghana,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,23,170,68.0,Ghana,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
M,23,170,68.0,Ghana,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,23,167,73.0,Togo,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,23,167,73.0,Togo,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,27,167,73.0,Togo,Summer,Athletics,Athletics Men's 400 metres,,,,,,,,,,,,,,,
M,27,167,73.0,Togo,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,27,185,72.0,Nigeria,Summer,Athletics,Athletics Men's Long Jump,,,,,,,,,,,,,,,
M,26,170,64.0,Nigeria,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,
M,21,173,67.0,Soviet Union,Summer,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,
