lap	timestamp	position_lat	position_long	distance	altitude	accumulated_power	heart_rate	cadence	speed	vertical_oscillation	stance_time_percent	stance_time	vertical_ratio	stance_time_balance	step_length
2			140496118	1457.64	430.79999999999995	65535	176	86	2.286	95.5	37.25	261.0	11.9	50.43	798.0
2			140492759	1478.6	432.0	65535	175	85	2.295	100.5	36.25	256.0	11.81	50.21	835.0
2			140489385	1499.67	432.6	65535	173	84	2.295	96.5	37.0	264.0	11.5	49.93	828.0
2			140485910	1521.56	434.20000000000005	65535	170	84	2.277	101.5	36.0	256.0	12.18	49.93	811.0
2			140484888	1527.99	434.4	65535	171	84	2.267	100.5	36.0	257.0	12.37	50.03	801.0
2			140482168	1544.9	435.4	65535	174	84	2.249	105.2	36.0	257.0	13.28	49.84	777.0
2			140478618	1566.96	434.0	65535	174	84	2.23	104.2	36.5	260.0	13.28	50.03	780.0
2			140475241	1588.04	433.0	65535	176	84	2.239	104.2	36.5	261.0	12.68	50.12	808.0
2			140474117	1595.01	432.0	65535	176	84	2.239	102.5	36.5	260.0	12.59	50.12	806.0
2			140472203	1606.87	431.20000000000005	65535	173	84	2.239	99.5	36.5	259.0	12.28	50.21	801.0
2			140468663	1628.89	430.6	65535	174	85	2.239	97.5	37.25	262.0	12.28	49.84	791.0
2			140465423	1649.21	431.6	65535	174	86	2.239	96.5	36.5	255.0	12.09	50.12	786.0
2			140462079	1671.38	432.20000000000005	65535	174	86	2.239	92.7	37.5	261.0	11.59	50.12	791.0
2			140459302	1690.61	434.6	65535	171	85	2.23	87.7	38.75	270.0	11.03	50.12	794.0
2			140455798	1712.61	433.4	65535	171	86	2.193	89.7	38.5	269.0	11.81	50.62	746.0
2			140454840	1718.55	432.79999999999995	65535	174	86	2.183	88.7	38.25	269.0	11.81	50.62	752.0
2			140452426	1734.13	432.79999999999995	65535	171	85	2.174	90.7	38.25	269.0	11.81	50.71	760.0
2			140449285	1755.33	434.0	65535	173	85	2.193	95.5	37.25	263.0	11.81	50.71	792.0
2			140445832	1777.2	433.6	65535	175	86	2.193	95.5	37.5	261.0	12.09	50.71	780.0
2			140442590	1797.56	431.20000000000005	65535	174	85	2.193	96.5	36.25	256.0	12.0	50.31	785.0
2			140439923	1814.7	432.79999999999995	65535	176	86	2.183	90.7	37.75	261.0	12.0	50.21	752.0
